0  	  0  	 0.05
0  	  1  	 0.05
0  	  2  	 0.05
0  	  3  	 0.00
0  	  4  	 0.00
0  	  5  	 0.00
1  	  0  	 0.05
1  	  1  	 0.05
1  	  2  	 0.05
1  	  3  	 0.00
1  	  4  	 0.00
1  	  5  	 0.00
2  	  0  	 0.00
2  	  1  	 0.00
2  	  2  	 0.00
2  	  3  	 0.05
2  	  4  	 0.05
2  	  5  	 0.05
3  	  0  	 0.00
3  	  1  	 0.00
3  	  2  	 0.00
3  	  3  	 0.05
3  	  4  	 0.05
3  	  5  	 0.05
4  	  0  	 0.04
4  	  1  	 0.04
4  	  2  	 0.00
4  	  3  	 0.04
4  	  4  	 0.04
4  	  5  	 0.04
5  	  0  	 0.04
5  	  1  	 0.04
5  	  2  	 0.04
5  	  3  	 0.00
5  	  4  	 0.04
5  	  5  	 0.04
