[prep_by, activation, amod]	781	(flavopiridol,nf-kappab)	0	1.0
[appos, receptor, appos]	413	(tnf-r2,tnf-r1)	1	1.0
[pobj, to, dep, to, pobj]	1125	(tnf-r2,tnf-r1)	1	1.0
[amod, expression, prep_of]	1179	(tnf-r2,tnf-r1)	1	1.0
[appos, csf, appos]	24	(il-2,il-5)	2	1.0
[appos, ngf, appos]	38	(il-2,il-5)	2	1.0
[nsubj, induced, acomp]	122	(il-2,il-5)	2	1.0
[dep, factor, dep]	240	(il-2,il-5)	2	1.0
[nsubj, induced, dobj, expression, prep_of]	321	(il-2,il-5)	2	1.0
[appos, rantes, appos]	344	(il-2,il-5)	2	1.0
[dep, alpha, dep]	385	(il-2,il-5)	2	1.0
[appos, alpha, appos]	430	(il-2,il-5)	2	1.0
[prep_with, synergized, nsubj]	431	(il-2,il-5)	2	1.0
[agent, induced, partmod, expression, nn]	595	(il-2,il-5)	2	1.0
[appos, interleukin, appos]	622	(il-2,il-5)	2	1.0
[prep_of, amounts, amod]	633	(il-2,il-5)	2	1.0
[nsubj, induced, dobj, expression, nn]	807	(il-2,il-5)	2	1.0
[appos, lt, appos]	909	(il-2,il-5)	2	1.0
[appos, beta, appos]	961	(il-2,il-5)	2	1.0
[nn, alpha, dep]	1084	(il-2,il-5)	2	1.0
[pobj, to, dep, to, pobj]	1125	(il-2,il-5)	2	1.0
[nsubj, induces, dobj]	1224	(il-2,il-5)	2	1.0
[appos, pdgfa, appos]	335	(il-11,il-10)	3	1.0
[dep, alpha, dep]	385	(il-11,il-10)	3	1.0
[appos, factor, appos]	1094	(il-11,il-10)	3	1.0
[appos, vegf, appos]	127	(fgf-7,fgf-2)	4	1.0
[pobj, by, dep, by, pobj]	1153	(fgf-7,fgf-2)	4	1.0
[nsubj, inhibited, dobj, expression, amod]	157	(clopidogrel,p-selectin)	5	1.0
[appos, factor, appos, factor, appos]	241	(fgf-7,fgf-1)	6	1.0
[nsubj, potent, prep_than]	312	(fgf-7,fgf-1)	6	1.0
[amod, lymphotoxin, amod]	139	(il-11,il-13)	7	1.0
