(flavopiridol,nf-kappab)	0	[prep_by, activation, amod]	781	1.0
(tnf-r2,tnf-r1)	1	[appos, receptor, appos]	413	1.0
(tnf-r2,tnf-r1)	1	[pobj, to, dep, to, pobj]	1125	1.0
(tnf-r2,tnf-r1)	1	[amod, expression, prep_of]	1179	1.0
(il-2,il-5)	2	[appos, csf, appos]	24	1.0
(il-2,il-5)	2	[appos, ngf, appos]	38	1.0
(il-2,il-5)	2	[nsubj, induced, acomp]	122	1.0
(il-2,il-5)	2	[dep, factor, dep]	240	1.0
(il-2,il-5)	2	[nsubj, induced, dobj, expression, prep_of]	321	1.0
(il-2,il-5)	2	[appos, rantes, appos]	344	1.0
(il-2,il-5)	2	[dep, alpha, dep]	385	1.0
(il-2,il-5)	2	[appos, alpha, appos]	430	1.0
(il-2,il-5)	2	[prep_with, synergized, nsubj]	431	1.0
(il-2,il-5)	2	[agent, induced, partmod, expression, nn]	595	1.0
(il-2,il-5)	2	[appos, interleukin, appos]	622	1.0
(il-2,il-5)	2	[prep_of, amounts, amod]	633	1.0
(il-2,il-5)	2	[nsubj, induced, dobj, expression, nn]	807	1.0
(il-2,il-5)	2	[appos, lt, appos]	909	1.0
(il-2,il-5)	2	[appos, beta, appos]	961	1.0
(il-2,il-5)	2	[nn, alpha, dep]	1084	1.0
(il-2,il-5)	2	[pobj, to, dep, to, pobj]	1125	1.0
(il-2,il-5)	2	[nsubj, induces, dobj]	1224	1.0
(il-11,il-10)	3	[appos, pdgfa, appos]	335	1.0
(il-11,il-10)	3	[dep, alpha, dep]	385	1.0
(il-11,il-10)	3	[appos, factor, appos]	1094	1.0
(fgf-7,fgf-2)	4	[appos, vegf, appos]	127	1.0
(fgf-7,fgf-2)	4	[pobj, by, dep, by, pobj]	1153	1.0
(clopidogrel,p-selectin)	5	[nsubj, inhibited, dobj, expression, amod]	157	1.0
(fgf-7,fgf-1)	6	[appos, factor, appos, factor, appos]	241	1.0
(fgf-7,fgf-1)	6	[nsubj, potent, prep_than]	312	1.0
(il-11,il-13)	7	[amod, lymphotoxin, amod]	139	1.0
(il-11,il-13)	7	[prep_with, combination, prep_in]	774	1.0
